well_file_number,well_name,operator,api,county,state,address,latitude,longitude,de_url,de_found,de_status,de_well_type,de_direction,de_operator,de_closest_city,de_latitude,de_longitude,de_oil_bbls,de_gas_mcf,de_production_start,de_production_end
28652,Kline Federal 5300 41-18 10B,Oasis Petroleum North America,33-053-06026,McKenzie,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/kline-federal-5300-41-18-10b/33-053-06026,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.068997,-103.602868,80,152,September 2015,December 2025
28654,Kline Federal 5300 41-18 13T2X,Oasis Petroleum North America,33-053-06028,McKenzie,ND,"1001 Fannin, Suite 1500",48.068672,-103.603319,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/kline-federal-5300-41-18-13t2x/33-053-06028,1,Plugged and Abandoned,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.068726,-103.602865,N/A,N/A,August 2015,July 2024
28655,Kline Federal 5300 41-18 14BX,Oasis Petroleum North America,33-053-06029,McKenzie,ND,"1001 Fannin, Suite 1500",48.0686,103.603,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/kline-federal-5300-41-18-14bx/33-053-06029,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.068635,-103.602863,872,5.3 k,August 2015,December 2025
28658,Kline Federal 5300 41-18 12TX,Oasis Petroleum North America,33-053-06030,McKenzie,ND,"1001 Fannin, Suite 1500",48.068764,-103.603319,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/kline-federal-5300-41-18-12tx/33-053-06030,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.068816,-103.602866,153,1.2 k,September 2015,December 2025
28744,Wade Federal 5300 41-30 9B,Oasis Petroleum North America,33-053-06051,Williams,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/wade-federal-5300-41-30-9b/33-053-06051,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.041027,-103.603020,305,3 k,June 2015,December 2025
28754,Kline Federal 5300 31-18 8B,Oasis Petroleum North America,33-053-06055,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/kline-federal-5300-31-18-8b/33-053-06055,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.074542,-103.602936,185,451,September 2015,December 2025
28755,Kline Federal 5300 31-18 7T Sec.17/18,Oasis Petroleum North America,33-053-06056,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/kline-federal-5300-31-18-7t/33-053-06056,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.074452,-103.602935,285,1.1 k,September 2015,December 2025
28756,Kline Federal 5300 31-18 6B,Oasis Petroleum North America,33-053-06057,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/kline-federal-5300-31-18-6b/33-053-06057,1,Abandoned,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.074362,-103.602934,N/A,N/A,September 2015,December 2025
28976,Wade Federal 5300 21-30 12T,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/wade-federal-5300-21-30-12t/33-053-06129,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.048736,-103.602904,501,1.9 k,May 2015,December 2025
28978,WADE FEDERAL 5300 21-30 13B,Oasis Petroleum North America LLC BAKER,,Mckenzie,ND,"1001 Fannin, Suite 1500 Houston TX 77002",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/wade-federal-5300-21-30-13b/33-053-06131,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.048917,-103.602900,50,245,April 2015,December 2025
29242,Kline Federal 5300 11-18 5B,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/kline-federal-5300-11-18-5b/33-053-06223,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.078987,-103.602835,318,2.4 k,August 2015,December 2025
29244,Kline Federal 5300 11-18 3T,Oasis Petroleum North America,33-053-06225,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/kline-federal-5300-11-18-3t/33-053-06225,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.079069,-103.602783,158,743,August 2015,December 2025
29316,Gramma Federal 5300 41-3112B,Oasis Petroleum North America,33-053-06231,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/gramma-federal-5300-41-31-12b/33-053-06231,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.026154,-103.602783,723,3.8 k,June 2015,December 2025
29317,Gramma Federal 5300 41-31 13T,Oasis Petroleum North America,33-053-06232,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/gramma-federal-5300-41-31-13t/33-053-06232,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.026335,-103.602785,357,2.9 k,July 2015,December 2025
29334,Kline Federal 5300 11-18 2B,Oasis Petroleum North America,33-053-06243,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/kline-federal-5300-11-18-2b/33-053-06243,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.079234,-103.602670,206,1.9 k,September 2015,December 2025
30188,Lewis Federa1 5300 11‐,Oasis Petroleum North America 〔281)404‐9591 Ｂａｋ ｅ,33-053-06548,,ND,揃ｌ,48.035810,103.602608,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/lewis-federal-5300-11-31-3b/33-053-06548,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.035835,-103.603111,1.8 k,4.2 k,September 2019,December 2025
30189,Lewis Federal 5300 11-31 2B,Oasis Petroleum,33-053-06549,Mckenzie,ND,,,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/lewis-federal-5300-11-31-2b/33-053-06549,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.035926,-103.603100,711,3.9 k,September 2019,December 2025
30789,KLINE FEDERAL 5300 31-18 15T LOT3,Oasis Petroleum North America LLC,,Mckenzie,ND,P.O. Box 3886 Enid OK 73702,,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/kline-federal-5300-31-18-15t/33-053-06755,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.074633,-103.602938,489,1.8 k,September 2015,December 2025
36047,Lewis Federal 5300 11-31 4BR,Oasis Petroleum,33-053-08946,Mckenzie,ND,,,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/lewis-federal-5300-11-31-4br/33-053-08946,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.035654,-103.603130,511,1.7 k,September 2019,December 2025
90244,Buck Shot SWD 5300 31-31H,Oasis Petroleum North America LLC,33-053-90244,McKenzie,ND,"1001 Fannin, Suite 1500 Dakota Group",,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
90258,Atl mta #1 SWD,"Continental Resources, Inc.",,Williams,ND,P. 0. Box 268870,,,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-1-swd/33-105-90258,1,Active,Salt Water Disposal,V,"CONTINENTAL RESOURCES, INC.",Williston,48.110204,-103.731807,N/A,N/A,N/A,N/A
